rank	country	value
1	European Union	351900000000
2	Germany	301400000000
3	China	270900000000
4	Japan	176100000000
5	Korea, South	101600000000
6	Taiwan	77900000000
7	Netherlands	69820000000
8	Switzerland	61200000000
9	Singapore	57260000000
10	Italy	40230000000
11	Russia	38560000000
12	Thailand	37690000000
13	Ireland	29110000000
14	Norway	26230000000
15	Sweden	26030000000
16	Spain	24290000000
17	Denmark	20340000000
18	Iran	17200000000
19	Macau	12510000000
20	Austria	10190000000
21	Israel	9541000000
22	Hong Kong	8895000000
23	Hungary	5720000000
24	Philippines	5542000000
25	United Arab Emirates	4244000000
26	Kuwait	3939000000
27	Malaysia	3646000000
28	Slovenia	3398000000
29	Czechia	2976000000
30	Luxembourg	2711000000
31	Croatia	1514000000
32	Papua New Guinea	1484000000
33	Nepal	831000000
34	Afghanistan	827000000
35	Vietnam	770000000
36	Malta	653000000
37	Belgium	585000000
38	Iceland	567000000
39	Brunei	452000000
40	Botswana	447000000
41	Bulgaria	400000000
42	British Virgin Islands	362600000
43	Azerbaijan	264000000
44	Finland	199000000
45	Paraguay	172000000
46	Estonia	136000000
47	Guyana	72000000
48	Uzbekistan	64000000
49	Portugal	46000000
50	Haiti	35000000
51	Cook Islands	26670000
52	Eritrea	10000000
53	Micronesia, Federated States of	3000000
54	Tuvalu	-1000000
55	Kiribati	-12000000
56	South Sudan	-13000000
57	Marshall Islands	-14000000
58	Palau	-16000000
59	Guinea-Bissau	-20000000
60	Samoa	-29000000
61	Tonga	-33000000
62	Sao Tome and Principe	-44000000
63	Anguilla	-50100000
64	Solomon Islands	-54000000
65	Comoros	-56000000
66	Dominica	-69000000
67	Greece	-70000000
68	Saint Lucia	-96000000
69	Gambia, The	-112000000
70	Antigua and Barbuda	-122000000
71	Burundi	-127000000
72	Vanuatu	-129000000
73	Grenada	-130000000
74	Cabo Verde	-130000000
75	Bangladesh	-131000000
76	Lesotho	-144000000
77	Cuba	-145700000
78	Saint Kitts and Nevis	-164000000
79	Swaziland	-167000000
80	Suriname	-174000000
81	Saint Vincent and the Grenadines	-176000000
82	Central African Republic	-178000000
83	Cyprus	-184000000
84	Moldova	-189000000
85	Macedonia	-194000000
86	Belize	-220000000
87	Madagascar	-223000000
88	Barbados	-238000000
89	Timor-Leste	-248000000
90	Poland	-250000000
91	Seychelles	-265000000
92	Armenia	-267000000
93	Congo, Democratic Republic of the	-308000000
94	Guatemala	-323000000
95	Djibouti	-325000000
96	Fiji	-329000000
97	Tajikistan	-331000000
98	Togo	-361000000
99	Maldives	-389000000
100	Montenegro	-437000000
101	Jamaica	-456000000
102	Mauritius	-509000000
103	El Salvador	-549000000
104	Latvia	-560000000
105	Bhutan	-579000000
106	Cote d'Ivoire	-609000000
107	Kosovo	-629000000
108	Somalia	-644000000
109	Liberia	-661000000
110	Lithuania	-676000000
111	Sierra Leone	-696000000
112	Burkina Faso	-723000000
113	Congo, Republic of the	-728000000
114	Gabon	-767000000
115	Bosnia and Herzegovina	-847000000
116	Mali	-848000000
117	Malawi	-863000000
118	Kyrgyzstan	-867000000
119	Slovakia	-885000000
120	Benin	-892000000
121	Guinea	-893000000
122	Chad	-907000000
123	Zambia	-932000000
124	Bahamas, The	-1029000000
125	Mauritania	-1033000000
126	Zimbabwe	-1069000000
127	Nicaragua	-1077000000
128	Honduras	-1197000000
129	Sri Lanka	-1231000000
130	Mongolia	-1241000000
131	Senegal	-1244000000
132	Namibia	-1268000000
133	Morocco	-1276000000
134	Cameroon	-1297000000
135	Ukraine	-1315000000
136	Niger	-1350000000
137	Equatorial Guinea	-1368000000
138	Rwanda	-1385000000
139	Ecuador	-1470000000
140	Bahrain	-1499000000
141	Uruguay	-1586000000
142	Serbia	-1596000000
143	Albania	-1612000000
144	Dominican Republic	-1709000000
145	Georgia	-1750000000
146	Yemen	-1920000000
147	Cambodia	-1969000000
148	Trinidad and Tobago	-1975000000
149	West Bank	-2149000000
150	Uganda	-2230000000
151	Bolivia	-2340000000
152	Belarus	-2379000000
153	Laos	-2471000000
154	Costa Rica	-2570000000
155	Pakistan	-2627000000
156	Ghana	-2693000000
157	Kazakhstan	-2785000000
158	Nigeria	-2856000000
159	Qatar	-2885000000
160	Gaza Strip	-2894000000
161	Panama	-3029000000
162	Syria	-3148000000
163	Tunisia	-3397000000
164	Jordan	-3566000000
165	Romania	-3733000000
166	Mozambique	-4035000000
167	Tanzania	-4121000000
168	Kenya	-4444000000
169	Chile	-4550000000
170	Angola	-4929000000
171	New Zealand	-5385000000
172	Sudan	-5545000000
173	Burma	-5665000000
174	Turkmenistan	-6780000000
175	Peru	-6801000000
176	Ethiopia	-7427000000
177	South Africa	-9382000000
178	Lebanon	-10560000000
179	Venezuela	-11210000000
180	France	-11520000000
181	Egypt	-12180000000
182	Oman	-12710000000
183	Argentina	-12720000000
184	Brazil	-14110000000
185	Colombia	-14310000000
186	Iraq	-16870000000
187	Libya	-18660000000
188	Indonesia	-21280000000
189	Algeria	-25340000000
190	Mexico	-29030000000
191	India	-31970000000
192	Turkey	-32120000000
193	Saudi Arabia	-42280000000
194	Australia	-43850000000
195	Canada	-56730000000
196	United Kingdom	-157300000000
197	United States	-469400000000
