rank	country	value
1	China	21270000000000
2	European Union	19180000000000
3	United States	18560000000000
4	India	8721000000000
5	Japan	4932000000000
6	Germany	3979000000000
7	Russia	3745000000000
8	Brazil	3135000000000
9	Indonesia	3028000000000
10	United Kingdom	2788000000000
11	France	2737000000000
12	Mexico	2307000000000
13	Italy	2221000000000
14	Korea, South	1929000000000
15	Saudi Arabia	1731000000000
16	Spain	1690000000000
17	Canada	1674000000000
18	Turkey	1670000000000
19	Iran	1459000000000
20	Australia	1189000000000
21	Thailand	1161000000000
22	Taiwan	1125000000000
23	Egypt	1105000000000
24	Nigeria	1089000000000
25	Poland	1052000000000
26	Pakistan	988200000000
27	Argentina	879400000000
28	Netherlands	865900000000
29	Malaysia	863800000000
30	Philippines	801900000000
31	South Africa	736300000000
32	Colombia	690400000000
33	United Arab Emirates	667200000000
34	Bangladesh	628400000000
35	Algeria	609400000000
36	Iraq	596700000000
37	Vietnam	594900000000
38	Belgium	508600000000
39	Sweden	498100000000
40	Switzerland	494300000000
41	Singapore	486900000000
42	Venezuela	468600000000
43	Kazakhstan	460700000000
44	Romania	441000000000
45	Chile	436100000000
46	Hong Kong	427400000000
47	Austria	415900000000
48	Peru	409900000000
49	Norway	364700000000
50	Czechia	350900000000
51	Ukraine	349800000000
52	Qatar	334500000000
53	Ireland	324300000000
54	Burma	311100000000
55	Kuwait	301100000000
56	Portugal	297100000000
57	Israel	297000000000
58	Greece	290500000000
59	Morocco	282800000000
60	Hungary	267600000000
61	Denmark	264800000000
62	Sri Lanka	237800000000
63	Finland	230000000000
64	Uzbekistan	202300000000
65	Angola	187300000000
66	Ecuador	182400000000
67	Sudan	176300000000
68	New Zealand	174800000000
69	Ethiopia	174700000000
70	Oman	173100000000
71	Slovakia	169100000000
72	Azerbaijan	167900000000
73	Belarus	165400000000
74	Dominican Republic	160900000000
75	Kenya	152700000000
76	Tanzania	150600000000
77	Bulgaria	143100000000
78	Guatemala	132300000000
79	Puerto Rico	131000000000
80	Tunisia	130800000000
81	Cuba	128500000000
82	Ghana	120800000000
83	Serbia	101500000000
84	Turkmenistan	94770000000
85	Croatia	94240000000
86	Panama	93120000000
87	Libya	90890000000
88	Cote d'Ivoire	87120000000
89	Jordan	86190000000
90	Lithuania	85790000000
91	Lebanon	85160000000
92	Uganda	84930000000
93	Costa Rica	79260000000
94	Bolivia	78350000000
95	Cameroon	77240000000
96	Uruguay	73930000000
97	Yemen	73450000000
98	Nepal	71520000000
99	Bahrain	66370000000
100	Slovenia	66130000000
101	Congo, Democratic Republic of the	66010000000
102	Zambia	65170000000
103	Paraguay	64120000000
104	Afghanistan	64080000000
105	Macau	63220000000
106	Cambodia	58940000000
107	Luxembourg	58740000000
108	Syria	55800000000
109	El Salvador	54790000000
110	Latvia	50870000000
111	Trinidad and Tobago	43570000000
112	Honduras	43190000000
113	Bosnia and Herzegovina	42530000000
114	Laos	40960000000
115	Korea, North	40000000000
116	Senegal	39720000000
117	Estonia	38700000000
118	Mali	38090000000
119	Madagascar	37490000000
120	Georgia	37380000000
121	Mongolia	36650000000
122	Botswana	36510000000
123	Gabon	36220000000
124	Mozambique	35310000000
125	Albania	34210000000
126	Brunei	33730000000
127	Nicaragua	33490000000
128	Burkina Faso	32990000000
129	Equatorial Guinea	31770000000
130	Chad	30590000000
131	Congo, Republic of the	30270000000
132	Macedonia	30130000000
133	Cyprus	29260000000
134	Zimbabwe	28330000000
135	Papua New Guinea	28020000000
136	Namibia	27040000000
137	Armenia	26560000000
138	Mauritius	25850000000
139	Tajikistan	25810000000
140	Jamaica	25390000000
141	Benin	24310000000
142	Rwanda	21970000000
143	Malawi	21230000000
144	West Bank	21220000000
145	Kyrgyzstan	21010000000
146	South Sudan	20880000000
147	Niger	20270000000
148	Haiti	19360000000
149	Moldova	18540000000
150	Kosovo	18490000000
151	Mauritania	16710000000
152	Malta	16320000000
153	Iceland	16150000000
154	Guinea	16080000000
155	Togo	11610000000
156	New Caledonia	11100000000
157	Swaziland	11060000000
158	Sierra Leone	10640000000
159	Montenegro	10610000000
160	Eritrea	9169000000
161	Bahamas, The	9066000000
162	Suriname	8547000000
163	Fiji	8374000000
164	Burundi	7892000000
165	French Polynesia	7150000000
166	Monaco	6790000000
167	Bhutan	6432000000
168	Isle of Man	6298000000
169	Guyana	6093000000
170	Lesotho	6019000000
171	Jersey	5771000000
172	Maldives	5407000000
173	Bermuda	5198000000
174	Timor-Leste	4975000000
175	Guam	4882000000
176	Barbados	4804000000
177	Somalia	4431000000
178	Liberia	3881000000
179	Virgin Islands	3792000000
180	Cabo Verde	3583000000
181	Guernsey	3451000000
182	Gambia, The	3387000000
183	Djibouti	3345000000
