rank	country	value
1	China	1373541278
2	India	1266883598
3	European Union	513949445
4	United States	323995528
5	Indonesia	258316051
6	Brazil	205823665
7	Pakistan	201995540
8	Nigeria	186053386
9	Bangladesh	156186882
10	Russia	142355415
11	Japan	126702133
12	Mexico	123166749
13	Philippines	102624209
14	Ethiopia	102374044
15	Vietnam	95261021
16	Egypt	94666993
17	Iran	82801633
18	Congo, Democratic Republic of the	81331050
19	Germany	80722792
20	Turkey	80274604
21	Thailand	68200824
22	France	66836154
23	United Kingdom	64430428
24	Italy	62007540
25	Burma	56890418
26	South Africa	54300704
27	Tanzania	52482726
28	Korea, South	50924172
29	Spain	48563476
30	Colombia	47220856
31	Kenya	46790758
32	Ukraine	44209733
33	Argentina	43886748
34	Algeria	40263711
35	Poland	38523261
36	Uganda	38319241
37	Iraq	38146025
38	Sudan	36729501
39	Canada	35362905
40	Morocco	33655786
41	Afghanistan	33332025
42	Malaysia	30949962
43	Venezuela	30912302
44	Peru	30741062
45	Uzbekistan	29473614
46	Nepal	29033914
47	Saudi Arabia	28160273
48	Yemen	27392779
49	Ghana	26908262
50	Mozambique	25930150
51	Korea, North	25115311
52	Madagascar	24430325
53	Cameroon	24360803
54	Cote d'Ivoire	23740424
55	Taiwan	23464787
56	Australia	22992654
57	Sri Lanka	22235000
58	Romania	21599736
59	Angola	20172332
60	Burkina Faso	19512533
61	Niger	18638600
62	Malawi	18570321
63	Kazakhstan	18360353
64	Chile	17650114
65	Mali	17467108
66	Syria	17185170
67	Netherlands	17016967
68	Ecuador	16080778
69	Cambodia	15957223
70	Zambia	15510711
71	Guatemala	15189958
72	Zimbabwe	14546961
73	Senegal	14320055
74	Rwanda	12988423
75	South Sudan	12530717
76	Guinea	12093349
77	Chad	11852462
78	Belgium	11409077
79	Cuba	11179995
80	Tunisia	11134588
81	Burundi	11099298
82	Bolivia	10969649
83	Portugal	10833816
84	Somalia	10817354
85	Greece	10773253
86	Benin	10741458
87	Czechia	10644842
88	Dominican Republic	10606865
89	Haiti	10485800
90	Sweden	9880604
91	Hungary	9874784
92	Azerbaijan	9872765
93	Belarus	9570376
94	Honduras	8893259
95	Austria	8711770
96	Tajikistan	8330946
97	Jordan	8185384
98	Switzerland	8179294
99	Israel	8174527
100	Togo	7756937
101	Hong Kong	7167403
102	Bulgaria	7144653
103	Serbia	7143921
104	Laos	7019073
105	Paraguay	6862812
